mu,sigma,final_mass,mean_mass,mass_std,mean_activity,classification,lyapunov,lyapunov_std,lyapunov_class,correlation_type,correlation_length,correlation_exponent,entropy,spatial_entropy,mutual_info,susceptibility
0.08,0.0057692307692307696,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.08,0.0073076923076923084,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.08,0.005,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.08,0.008846153846153847,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.08,0.008076923076923077,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.08,0.006538461538461539,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.08,0.013461538461538462,2470.392688978626,2476.815376431278,3.8474547272037087,4.024777708098968,stable,0.07597064221268532,0.0018910650269352927,chaotic,exponential,1.4561244749288917,0.6867544754708103,0.7928271365461718,3.0524801231690906,0.014318348209342746,
0.08,0.010384615384615384,2299.1606009986317,2290.0275596839765,5.434415831323247,5.703881138056289,stable,0.08563067930598389,0.002591761381611777,chaotic,exponential,1.175351946080525,0.8508089881798593,0.77955469097467,3.0143453036777537,0.016303553539907645,
0.08,0.009615384615384616,2241.695608391119,2246.6172106382273,4.7261475019506864,8.614918735866823,stable,0.08410703730557352,0.00136543369669596,chaotic,exponential,1.1244109105733886,0.8893545861183917,0.8190640778423004,3.001140895709959,0.027651882924980775,
0.08,0.011153846153846155,2312.903380336658,2319.131879437002,3.3449242747073367,4.639207937001443,stable,0.08433463258787421,0.0016486655094928233,chaotic,exponential,1.2054926173621683,0.8295363949952489,0.8073479330771589,2.9592552177707416,0.02772072877025189,
0.08,0.015000000000000003,2564.2806581759955,2563.5297729815325,2.596860036650953,2.773637791636645,stable,0.07318023621110485,0.0007957464931960895,chaotic,exponential,1.5990755626573874,0.6253613170963433,0.7547867288440886,2.8770194370818536,0.005450710473171361,
0.08,0.011923076923076925,2369.8691723935417,2376.6805868637657,6.033307137850505,5.67727460580885,stable,0.07395092952406618,0.0014745847012841927,chaotic,exponential,1.2586180672007021,0.7945222034068717,0.808516145850131,2.9592134171232622,0.020429051100234297,
