mu,sigma,final_mass,mean_mass,mass_std,mean_activity,classification,lyapunov,lyapunov_std,lyapunov_class,correlation_type,correlation_length,correlation_exponent,entropy,spatial_entropy,mutual_info,susceptibility
0.09214285714285714,0.022142857142857145,3035.5302142342584,3038.980465248938,2.4884513103801593,3.050614089858508,stable,0.023703673139320886,0.001616907501593047,chaotic,exponential,2.0418275759379596,0.48975731926856136,0.8482311078232994,3.1315952618536453,0.02043022472570688,
0.09214285714285714,0.02,2955.3534212552604,2949.347171293729,3.9526769815082674,3.049105086547611,stable,0.038375534848711056,0.0034863148784542615,chaotic,exponential,1.8655336059954475,0.5360396600662687,0.8170487828726218,3.0715055654906167,0.020073805040249804,
0.09214285714285714,0.02642857142857143,3214.426908053485,3211.613103777235,2.883515864710626,0.7730324457326572,stable,0.018187300266401276,0.0006673982655478099,chaotic,exponential,2.2713625696284336,0.4402643652631766,0.7724037522943483,2.8596034740967546,0.00602611645607487,
0.09214285714285714,0.02428571428571429,3142.3476003110727,3143.3886014993855,3.3699442992194872,2.231680159186101,stable,0.02548774033163965,0.003117458977953878,chaotic,exponential,2.0882369563878433,0.4788728582458208,0.8292326629766444,3.0976549767105364,0.018423981175867743,
0.09214285714285714,0.028571428571428574,3312.385449729337,3312.339630657549,2.2403196356114075,1.3983568118362022,stable,0.03202291109263068,0.0015242437743380694,chaotic,exponential,2.521599661143199,0.3965736573531412,0.813689799630339,2.9230710657997507,0.04543017041046782,
0.09214285714285714,0.03071428571428572,3302.895344543891,3305.1028153664765,2.468299914058208,2.341191156071346,stable,0.01858198649937619,0.0015654103266877677,chaotic,exponential,2.4385961657136552,0.4100719971842283,0.831844636781483,3.0655757442630787,0.017758909288149605,
0.10428571428571429,0.005,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.10428571428571429,0.009285714285714286,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.10428571428571429,0.0071428571428571435,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.09214285714285714,0.032857142857142856,3334.4836318179996,3330.542797022946,1.6565835902239456,1.605464868227511,stable,0.018370619408349775,0.000646832293062496,chaotic,exponential,2.4031461595492627,0.41612117349847805,0.8299851613149418,2.9836044481001482,0.01247560855716423,
